# mammos csv v3
#----------------------------------------
# Hysteresis loop.
# Generated from mammos_mumag 0.11.0.
# `configuration_type` is the name of the corresponding vtu file containing the magnetization.
# `B_ext` is the applied magnetic flux density.
# `J` is the polarisation in the direction of the applied magnetic flux.
# `Jx`, `Jy`, `Jz` are the components of the polarisation.
# `energy_density` is the energy density.
#----------------------------------------
,MagneticFluxDensity,MagneticPolarisation,MagneticPolarisation,MagneticPolarisation,MagneticPolarisation,EnergyDensity
,,,,,,
,https://w3id.org/emmo#EMMO_961d1aba_f75e_4411_aaa4_457f7516ed6b,https://w3id.org/emmo#EMMO_74a096dd_cc83_4c7e_b704_0541620ff18d,https://w3id.org/emmo#EMMO_74a096dd_cc83_4c7e_b704_0541620ff18d,https://w3id.org/emmo#EMMO_74a096dd_cc83_4c7e_b704_0541620ff18d,https://w3id.org/emmo#EMMO_74a096dd_cc83_4c7e_b704_0541620ff18d,https://w3id.org/emmo/domain/magnetic-materials#EMMO_56258d3a-f2ee-554e-af99-499dd8620457
,T,T,T,T,T,J / m3
configuration_type,B_ext,J,Jx,Jy,Jz,energy_density
31,0.3499999999999994,1.6044531334893848,7.263210643439433e-05,0.00010655902261114175,1.6044531334893848,-89900.8285030865
32,0.3449999999999994,1.5864722700317588,5.6694543989406685e-05,0.00010314194277079671,1.5864722700317588,-83552.67443675382
33,0.3399999999999994,1.5684678255596918,3.996817495627179e-05,9.963912419169207e-05,1.5684678255596918,-77276.11855591326
34,0.3349999999999994,1.5504320602002741,2.1287977517642587e-05,9.653274151562817e-05,1.5504320602002741,-71071.26195902076
35,0.3299999999999994,1.5323757770557318,8.687648409145684e-07,9.342197395019548e-05,1.5323757770557318,-64938.20257039024
36,0.3249999999999994,1.5142967549687714,-2.1298286265431033e-05,9.039778114409627e-05,1.5142967549687714,-58877.03400322225
37,0.3199999999999994,1.4961951270190414,-4.5960731532201494e-05,8.743890000102816e-05,1.4961951270190414,-52887.846162537884
38,0.3149999999999994,1.4780715874128576,-7.282520630842669e-05,8.458245846505121e-05,1.4780715874128576,-46970.72497206132
39,0.3099999999999994,1.4599281932729744,-0.00010229957314712665,8.197333197825932e-05,1.4599281932729744,-41125.753580647484
40,0.3049999999999994,1.4417650150789758,-0.00013419855428511475,7.904528257029634e-05,1.4417650150789758,-35353.00972382002
41,0.2999999999999994,1.4235957015792773,-0.0001720455256224555,7.729536263081924e-05,1.4235957015792773,-29652.574494057215
42,0.2949999999999994,1.4053810561482887,-0.0002119924707677522,7.596076187486244e-05,1.4053810561482887,-24024.517251237135
43,0.28999999999999937,1.387166001088975,-0.00025407085150893797,7.551536396582685e-05,1.387166001088975,-18468.910790594404
44,0.28499999999999936,1.3689352582660625,-0.00030619144339868244,7.43241409890808e-05,1.3689352582660625,-12985.822856431389
45,0.27999999999999936,1.3506812777142692,-0.00036116799946943757,7.637987093124788e-05,1.3506812777142692,-7575.320478474448
46,0.27499999999999936,1.3324129263204612,-0.0004175699590149093,7.806524770803227e-05,1.3324129263204612,-2237.4674398771863
47,0.26999999999999935,1.3141315710952048,-0.00048546606615758136,8.20660643893509e-05,1.3141315710952048,3027.674684466038
48,0.26499999999999935,1.2958325526932741,-0.0005564403506969084,8.563467846449654e-05,1.2958325526932741,8220.045362684768
49,0.25999999999999934,1.2775251938552783,-0.0006398232201201278,9.185830375097516e-05,1.2775251938552783,13339.586932075532
